web-scraper-order,web-scraper-start-url,restaurant_name,lunch_price,lunch_menu,dinner_price,dinner_menu
"1529980372-392","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Via Norte","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerSoup of the Day
or
Organic Mixed Green Salad  (vegetarian/vegan)
cucumber, tomato, red onion, fresh fruit, apple cider vinaigrette
or
Grilled Portuguese Chouriço
pickled vegetables
or
Fillet of Sardines
charred peppers, zucchini, pineapple, topped with onion salsa
main
Pan Seared Skate Fish 'Raia'
Mediterranean relish
or
Fillet of Seabream 'Dourada'
fruit chutney
or
Grilled Squid
extra virgin olive oil, garlic
or
Oven Roasted Duck Leg
sweet potato chips, sautéed rapini
or
Braised Lamb Shank
slowly roasted, garlic mash, vegetables, wine reduction
or
Chicken Supreme & Chouriço Penne
sautéed spinach, tomato basil sauce
or
Bitoque
US prime steak, Portuguese style, home fries, fried egg, peppercorn sauce
or
Vegetable Penne  (vegan)
alio e olio

 (all fish mains served with seasonal vegetables and oven roasted potatoes)
desserts
Molotof
egg white meringue, drizzled caramel
or
Fresh Pineapple
or
Baccio Chocolate Tartufo Ice Cream","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerSoup of the Say
or
Organic Mixed Green Salad  (vegetarian/vegan)
cucumber, tomato, red onion, fresh fruit, apple cider vinaigrette
or
Broiled Goat Cheese Salad
arugula, balsamic vinaigrette dressing
or
Fillet of Sardines
charred peppers, zucchini, pineapple, topped with onion salsa
or
Grilled Portuguese Chouriço
pickled vegetables
or
Semi-boneless Quail
medium spiced piri-piri, warm lentils
main
Pan Seared Skate Fish 'Raia'
Mediterranean relish
or
Fillet of Seabream 'Dourada'
mango salsa
or
Herb Crusted Salmon
fruit chutney
or
Oven Roasted Duck Leg
sweet potato chips, sautéed rapini
or
Braised Lamb Shank
garlic mash, vegetables, wine reduction
or
Bitoque
US prime steak, Portuguese style, home fries, fried egg, peppercorn sauce
or
Rib Eye Steak
roasted potatoes, seasonal vegetables, jus
or
Chicken Supreme & Chouriço Penne
sautéed spinach, tomato basil sauce
or
Pan Seared Fillet Mignon
vegetables, sliced oven potatoes, au jus
or
Vegetable Penne  (vegan)
light tomato sauce

 (all fish mains served with seasonal vegetables and oven roasted potatoes)
desserts
Molotof
egg white meringue, drizzled caramel
or
Fresh Pineapple
ruby port
or
Baccio Chocolate Tartufo Ice Cream
covered in finely crushed almonds and hazelnuts
or
Vanilla Crème Brulee
fresh fruit coulis"
"1529980372-328","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Northern Maverick Brewing Co","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerGOLDEN GAZPACHO (vegan)
Chilled Tomato Soup, Cucumber, Sofrito, Chili Oil + Housemade Croutons
or
KALE & CHARD SALAD
Kale, Rainbow Chard, Housemade Bacon, Creamy Roasted Garlic Dressing, Parmesan, Croutons
or
FIELD GREENS
Mustard Greens, Cherry Tomatoes, Cucumber, Candied Malt, Niagara Pinot Noir Vinaigrette
main
BARLEY & QUINOA SALAD
Frisée, Barley, Quinoa, Endive, Roasted Squash, Sesame, Chili Lime Dressing, Choice of Protein: Chicken or Trout
or
MAVERICK BURGER
Dry-aged, House Ground Chuck, Housemade Bacon, House Smoked Cheese, Pickle, Fries
or
WARM SMOKED TROUT
Celery Root Purée, Pickled Chard, BBQ Vegetables
desserts
VANILLA ICE CREAM
Soft Serve Vanilla Ice Cream, Rhubarb & Raspberry Compote
or
MAPLE ICE CREAM
Soft Serve Maple Ice Cream, Beeramel
or
SUMMER FRUIT SALAD
Topped with Herb Honey","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerGOLDEN GAZPACHO (vegan)
Chilled Tomato Soup, Cucumber, Sofrito, Chili Oil + Housemade Croutons
or
KALE & CHARD SALAD
Kale, Rainbow Chard, Housemade Bacon, Creamy Roasted Garlic Dressing, Parmesan, Croutons
or
FIELD GREENS
Mustard Greens, Cherry Tomatoes, Cucumber, Candied Malt, Niagara Pinot Noir Vinaigrette
main
MAVERICK BURGER
Dry-aged, House Ground Chuck, Housemade Bacon, House Smoked Cheese, Pickle, Fries
or
WARM SMOKED TROUT
Celery Root Purée, Pickled Chard, BBQ Vegetables
or
CHEF'S LOCAL VEGETABLES (vegan)
Smoked Beets, Japanese Eggplant, Roasted Squash, Carrots, Onion Purée
desserts
VANILLA ICE CREAM
Soft Serve Vanilla Ice Cream, Rhubarb & Raspberry Compote
or
MAPLE ICE CREAM
Soft Serve Maple Ice Cream, Beeramel
or
SUMMER FRUIT SALAD
Topped with Herb Honey"
"1529980372-369","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","The Chefs' House","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerBaby Kale & Frisee  (vegetarian)
Crispy Oyster Mushroom, Tomatoes, Blue Cheese, Sherry Vinaigrette
or
Smoked Duck & Foie Gras Presse
Summer Bean Salad
or
Gazpacho Soup
Green Garlic Pesto, Charred Cucumber
main
Potato Crusted Ontario Rainbow Trout
Celery Root Puree, Grapes, Fennel
or
Thai Coconut Chicken Curry
Rice, Snow Peas, Coriander, Chili
or
Hand Made Fettuccini
Veal Ragu, Parmigiano Reggiano
or
Power Bowl  (vegetarian)
Mixed Grains, Black Beans, Sweet Potato, Avocado, Chipotle Crema, Cilantro, Chilies, Lime
desserts
Strawberries Short Cake
Strawberry Whipped Cream Cheese, Raspberry Coulis
or
Cookie Top Profiterole
Praline Semifreddo, Chocolate & Hazelnut Sauce
or
Icelandic Yoghurt & Blueberry Cake
Maple & Red Wine Reduction","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerSalmon Ceviche
Avocado, Pickled Jalapeno, Lime Crema, Arepas
or
Duck Confit Arancini
Orange Fennel Salad
or
Heirloom Tomato Panzanella  (vegetarian)
Burratta, Local Greens
or
Melon Gazpacho
Compressed Cucumber, Feta Cheese
main
Smoked Trout
Summer Succotash, Olive Oil Forked Potatoes, Salsa Verde
or
Herb Crusted Lamb Loin
Eggplant Puree, Rapini, Pine Nuts, Rort Reduction
or
Chicken Katsu
Julienned Vegetables, Miso Green Garlic Butter
or
Fettucini  (vegetarian)
Zucchini Ribbons, Spinach, Charred Scallions, Ricotta, Garlic Chili Oil



Summer Fruit Trifle
Sponges, Pastry Cream, Summer Fruits
or
Chocolate Passion Fruit Semifreddo
Passion Fruit Coulis, Shaved Chocolate
or
Blueberry Almond Tart
Lemon Curd, Almond Cream
desserts
undefined"
"1529980372-356","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Smith","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerArugula Salad
Goat cheese, walnuts, cranberries, aged balsamic vinaigrette
or
Fried Calamari
Toasted sesame & chili honey, house tartar sauce
or
Avocado Dip
Spiced, pico di gallo, house made tortilla chips
main
Buffalo Chicken Sandwich
Hot sauce, blue cheese, slaw, frites
or
Paella
Saffron rice, mussels, clams, shrimp, charred lemon
or
Steak Salad
Flat iron, minted potato salad, tomato, arugula, roasted corn, blue cheese, chimmichuri
or
Warm Lentil Salad
Acorn squash, roasted mushrooms, fennel, cipollini onion, shallot vinaigrette
desserts
Broken Chocolate Cake
Candied nuts, chocolate mousse, smith's ice cream
or
Apple Walnut Cake
Smith's ice cream, apple chips
or
Cinnamon Cream Cheese Bread Pudding
Salted espresso caramel","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerArugula Salad
Goat cheese, walnuts, cranberries, aged balsamic vinaigrette
or
Yuzu and White Soya Marinated Albacore
Avocado, orange, red onion, chillies, watermelon, lotus root, garlic, shallot
or
Beef Carpaccio
Picked mushroom, arugula, manchego cheese
main
Roasted Chicken Breast
goat cheese gratin, French beans, mushroom jus
or
Maple Glazed Salmon
Cauliflower puree, braised leeks, fingerling potato, crispy leek garnish
or
Steak Frites
8oz flat iron, chimichuri butter, crispy onion, shallot jus, fries
or
Warm Lentil Salad
Acorn squash, roasted mushrooms, fennel, cipollini onion, shallot vinaigrette
desserts
Broken Chocolate Cake
Candied nuts, chocolate mousse, smith's ice cream
or
Apple Walnut Cake
Smith's ice cream, apple chips
or
Cinnamon Cream Cheese Bread Pudding
Salted espresso caramel"
"1529980372-277","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Jamie's Italian Yorkdale","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerdaily soup
served with a hunk of house-made focaccia
or
porcini arancini  (vegetarian)
crispy mushroom risotto balls with mozzarella & fiery tomato sauce
or
beef carpaccio
pepper & herb-crusted fillet with arugula, parmigiano reggiano & extra virgin olive oil
main
jamie's fantastic chicken salad
grilled chicken breast, crispy pancetta, hard boiled egg, avocado, romaine lettuce, sweet cherry tomatoes, parmigiano reggiano & balsamic
or
gnocchi pomodoro  (vegetarian)
sweet tomato sauce with garlic, basil, mascarpone, fior di latte, pangrattato & parmigiano reggiano
or
rigatoni bianca
lemony mascarpone, pork & fennel sausage with parsley gremolata & pangrattato
or
margherita pizza  (vegetarian)
crushed tomatoes, basil, fior di latte & extra virgin olive oil
desserts
gelato trio
choice of delicious gelato served with any two of toppings: crumbled biscotti; seasonal fruit compote; chocolate sauce
or
panna cotta
a house-made italian classic with fresh cream & local seasonal berries
or
epic brownie
warm fudgy brownie with vanilla bean gelato & caramelized popcorn","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerporcini arancini  (vegetarian)
crispy mushroom risotto balls with mozzarella & fiery tomato sauce
or
beef carpaccio
pepper & herb-crusted fillet with arugula, parmigiano reggiano & extra virgin olive oil
or
caprese salad  (vegetarian)
fresh cherry, roma & beefsteak tomatoes, bocconcini, fresh basil, balsamic, olive oil & bella lodi
main
chicken primavera
half chicken, grilled with peas, edamame beans, yellow & green zucchini with basil pesto
or
gennaro's tagliatelle bolognese
pork & beef slow cooked with red wine, topped with pangrattato & parmigiano reggiano
or
truffle tagliatelle  (vegetarian)
tagliatelle with black truffle cream, butter, parmigiano reggiano & shaved black truffles
or
pear & gorgonzola pizza  (vegetarian)
sugar-roasted pears, creamy gorgonzola, fior di latte, mascarpone, topped with toasted walnuts & honey
desserts
gelato trio
choice of delicious gelato, served with any two toppings: crumbled biscotti; seasonal fruit compote; chocolate sauce
or
panna cotta
a house-made italian classic with fresh cream & local seasonal berries
or
strawberry swirl cheesecake
served with strawberry goat cheese mousse, fresh berries & amaretti cookie crumble"
"1529980372-204","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Alleycatz Restaurant Jazz Bar","null","null","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerPEI MUSSELS
Fennel, roasted tomato, chilli pepper, sambuca, seafood bouillabaisse, grilled crustini
or
GRILLED SHRIMP
Baked tiger shrimp brushed with Spanish garlic butter, salad
or
CALAMARI FRITTO
Calamari served with jalapeno lime mayo
or
EGGPLANT CANNELLONI  (vegetarian/local)
Oven baked eggplant stuffed with ricotta & parmesan cheese topped with tomato sauce
or
ORGANIC BEAT SALAD  (vegetarian/local)
Roasted beets, pickled onions, arugula, organic spinach, herbed goat cheese, aged white balsamic vinaigrette
main
GIANT WILD MUSHROOM RAVIOLI  (vegetarian/local)
Stuffed with wild mushroom & ricotta cheese in a tomato cream sauce drizzled with truffle oil
or
STUFFED CHICKEN SUPREME  (local)
Free range chicken stuffed with brie cheese, roasted red peppers and organic spinach, sweet potato mash & seasonal vegetables, truffle thyme cream sauce
or
GRILLED ATLANTIC SALMON
7 oz. fillet roasted cherry tomato, kalamata olives, shaved fennel, basmati rice, mixed vegetables
or
PRIME RIB
Certified angus prime rib slowly cooked in a red wine jus served with sweet potato mash & seasonal vegetables
desserts
RED VELVET CAKE
or
NEW YORK STYLE CHEESE CAKE
Topped with grand marnier & berry compote
or
CLASSIC CHOCOLATE ICE BROWNIE
With French vanilla ice cream"
"1529980372-218","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Beaumont Kitchen","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerCRAB & FISH CAKE
citrus, avocado crema
or
BABY SPINACH SALAD (vegetarian)
orange, summer roots, sunflower seeds, soy ginger dressing
or
TOMATO, PEACH & FRESH MOZZARELLA SALAD (vegetarian/local)
salsa verde, fennel, arugula
or
DILL CARROT SOUP (vegetarian)
orange yoghurt
main
CRISPY PORK BELLY STEAMED BUNS
kimchi, cucumber, cabbage slaw, ginger dressing
or
YELLOWFIN TUNA CEVICHE RICE BOWL
edamame, celery, anaheim chili, watermelon, sesame, citrus dressing
or
FRESH FETTUCCINE
sautéed beef tenderloin, green peppercorn cream, mushrooms, spinach
or
GRILLED CHICKEN BREAST
charred romaine leaves, asparagus, beans, green olives, lemon dressing
or
VEGETARIAN SUMMER RATATOUILLE (vegetarian/local)
ricotta lasagna
desserts
AGED CHEDDAR (vegetarian/local)
apple raisin compote
or
CANNOLI TART (vegetarian)
ricotta, orange, chocolate, pistachios
or
WHITE CHOCOLATE & STRAWBERRY SEMIFREDDO (vegetarian)
vanilla shortbread","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerYELLOWFIN TUNA CEVICHE SALAD
citrus, celery, anaheim chili, watermelon, sesame, citrus dressing
or
BABY SPINACH SALAD (vegetarian)
orange, radish, sunflower seeds, soy ginger dressing
or
TOMATO, PEACH & FRESH MOZZARELLA SALAD (vegetarian/local)
salsa verde, shaved fennel, arugula
or
DILL CARROT SOUP (vegetarian)
orange yoghurt
main
BEEF SHORT RIB
chive & buttermilk smashed marble potato, cipollini onions, beans
or
SALMON & VEGETABLE FRIED RICE BOWL
snap peas, soft poached egg, green onion, sesame seeds
or
VEGETARIAN SUMMER RATATOUILLE (vegetarian/local)
ricotta lasagna
or
CRAB & FISH CAKE
citrus-marinated shrimp, jicama, endive, avocado crema, pumpkin seeds
or
GRILLED CHICKEN BREAST
charred romaine, buttered potato, beans, green olives, lemon
desserts
AGED CHEDDAR (vegetarian/local)
apple raisin compote
or
CANNOLI TART (vegetarian)
ricotta, orange, chocolate, pistachios
or
WHITE CHOCOLATE & STRAWBERRY SEMIFREDDO (vegetarian)
vanilla shortbread"
"1529980372-306","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Mambo Lounge","null","null","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerSopa Cubana
Soup of the day Cuban style
or
Ensalada Tropical
Seasonal mixed greens, tomato, avocado, and fresh mango tossed in a sweet mango-balsamic dressing
or
Ensalada de Espinaca
Baby spinach with pears, walnuts, roasted red peppers, and blue cheese, dressed with lemon vinaigrette
main
Pollo Rancho Luna
Grilled chicken breast with congri, fresh vegetables, and salsa de tamarindo
or
Pescado Salteado
Fresh sea bass fillet served with coconut rice, salsa santiaguera and vegetables
or
Bistec a la Plancha
Grilled AAA NY strip loin served with yucca fries, fresh vegetables, and jus
or
Pato al Vino Blanco
Slow cooked in white wine duck leg served with mashed potatoes and roasted root vegetables
or
Sorpresa vegetal
Stuffed red sweet peppers, malanga, mushroom, sweet potatoes and yuca.
desserts
Torta de Chocolate
Chocolate mousse cake
or
Cuban Coconut Flan
Cuban crème caramel with coconut
or
Havana Club Crème Brûlée
Rich & crème custard with a crispy sugar top"
"1529980372-351","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Sambucas on Church","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerSoup
Soup of the day
or
Green	Mixed
Baby greens tossed with fresh tomatoes, cucumbers, bell peppers, and red onions tossed with a flavourful balsamic and extra-virgin olive oil dressing
or
Caesar
Crisp romaine lettuce and chopped garlic crostini tossed in our homemade creamy garlic caesar dressing
or
Greek
Crisp lettuce mixed with Kalamata olives, English cucumbers, bell peppers, red onions, tomatoes, and feta cheese dressed with oregano olive oil vinaigrette
or
Crostini
Goat cheese and apricot crostini with pistachios and mint
main
Penne
Grilled chicken, mushrooms, and spinach in a sun-dried tomato pesto cream sauce
or
Fusilli
Italian sausage, grilled red peppers, spinach, and bocconcini cheese in a tomato sauce
or
Linguine
Black tiger shrimp, salmon, snow peas, and red peppers in a dill cream sauce
or
Risotto
Arborio rice, smoked chicken, oyster mushrooms, and green peas in a white wine broth
or
Chicken
Chicken breast stuffed with bacon and cheddar cheese, topped with chili maple brown sauce and served with mashed potatoes and steamed vegetables
or
Fish
Pan seared orange roughy with citrus Grand Marnier cream sauce served with rice pilaf and steamed vegetables
or
Lamb Shank
Lamb shank slowly simmered with vegetables and red wine tomato broth served with garlic mashed potatoes and steamed vegetables
or
Steak
Grilled striploin steak with peppercorn sauce served with mashed potatoes and steamed vegetables
desserts
Warm rich white and dark chocolate lava cake with vanilla ice cream
or
Tartufo
Option of: Chocolate-raspberry, mocha-amaretto, or hazelnut-chocolate
or
Raspberry almond pistachio mousse mini
or
Key lime mousse","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerSoup
Soup of the day
or
Green
Mixed baby greens tossed with fresh tomatoes, cucumbers, bell peppers, and red onions tossed with a flavourful balsamic and extra-virgin olive oil dressing
or
Caesar
Crisp romaine lettuce and chopped garlic crostini tossed in our homemade creamy garlic caesar dressing
or
Greek
Crisp lettuce mixed with Kalamata olives, English cucumbers, bell peppers, red onions, tomatoes, and feta cheese dressed with oregano olive oil vinaigrette
or
Crostini
Goat cheese and apricot crostini with pistachios and mint
or
Mussels
P. E. I. mussels, leeks, and plum tomatoes in a gorgonzola cream sauce
main
Rigatoni
Italian sausage, grilled red peppers, spinach, and bocconcini cheese in a tomato sauce
or
Fusilli
Grilled chicken, Italian sausage, wild mushrooms, and green peas tossed in a roasted garlic and olive oil sauce
or
Angel Hair
Black tiger shrimp, Italian sausage, red peppers, and arugula tossed in a sage butter sauce
or
Linguine
Black tiger shrimp, salmon, mussels, and spinach in a sweet basil cream sauce
or
Fettuccine
Black tiger shrimp, scallops, snow peas, and red peppers in a tarragon cream sauce
or
Risotto
Arborio rice, smoked chicken, oyster mushrooms, and green peas in a white wine broth
or
Chicken
Chicken breast stuffed with bacon and cheddar cheese, topped with chili maple brown sauce and served with mashed potatoes and steamed vegetables
or
Rainbow Trout
Pan seared rainbow trout with roasted red pepper cream sauce served with rice pilaf and steamed vegetables
or
Lamb Shank
Lamb shank slowly simmered with vegetables and red wine tomato broth served with garlic mashed potatoes and steamed vegetables
or
Filet Mignon
Pan roasted bacon wrapped filet mignon with peppercorn sauce served with mashed potatoes and steamed vegetables
or
Steak & Lobster
Grilled striploin steak and baked lobster tail with peppercorn sauce served with mashed potatoes and steamed vegetables
or
Rack Of Lamb
Pan roasted half rack of lamb with mint red wine sauce served with mashed potatoes and steamed vegetables
desserts
Warm rich white and dark chocolate lava cake with vanilla ice cream
or
Tartufo
options of Chocolate-raspberry, mocha-amaretto, or hazelnut-chocolate
or
Crème brulee - A smooth, creamy chilled custard, covered with brown sugar caramelized to a crunchy, delicious topping
or
Caramel latte mousse mini
or
Key lime mousse
or
Cookie butter cheesecake"
"1529980372-325","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Noce","$33 Lunch","$33 LunchPlus taxes and gratuityappetizerSPIT FIRED PORCHETTA
peach and peperoncino jam, arugula
or
SUMMER TOMATO SALAD
smoked salt spring mussels, bufala mozzarella, tomato vinaigrette, herbed breadcrumbs
or
ZUCCHINI SALAD
peas, fava beans, charred red onion and lemon vinaigrette, wood fired shrimp, radish
main
GRILLED NOCE SAUSAGE
fermented pepper purée, grilled summer greens, lemon
or
GRILLED BRANZINO
charred eggplant, coal roasted cherry tomatoes, sheppard peppers, garlic
or
ZITI DI GRAGNANO
ontario lamb ragout, sweet peas, mint, pecorino
desserts
SEX IN A PAN
pecan crust, vanilla nutella pudding, whipped mascarpone cream, sponge toffee
or
CORN CHIFFON CAKE
limoncello zabaglione, black pepper meringue, lavender, ontario strawberries
or
ICE CREAM SUNDAE
fior di latte gelato, tomato, basil, olive oil","$53 Dinner","$53 DinnerPlus taxes and gratuityappetizerTUNA CRUDO
tomato and watermelon acqua, Ontario strawberries, Campari granita, basil and mint
or
PROSCIUTTO DI PARMA
ontario stracciatella cheese, ontario peaches, corn zabaglione,arugula, crostini
or
AGED BEEF TARTAR
egg yolk, hazelnuts, triple crunch mustard, pickle purée, parmigiano, fontina grilled cheese on house made brioche bread
or
FIOR DI ZUCCA PIZZA
ontario ricotta, charred zucchini, zucchini flowers, anchovies, mint
main
B.C. KONA KAMPACHI FISH SALTIMBOCCA
sage and prosciutto, charred zucchini and potatoes, sautéed swiss chard, lemon, sage, water buffalo yogurt
or
MUSHROOM RAVIOLI
ontario ricotta and smoked wild mushrooms stuffing, truffle, thyme butter and parimigiano
or
ONTARIO LAMB SADDLE
apple and fennel salad, mint pesto, Sicilian chermoula, herbs
desserts
SEX IN A PAN
pecan crust, vanilla nutella pudding, whipped mascarpone cream, sponge toffee
or
CORN CHIFFON CAKE
limoncello zabaglione, black pepper meringue, lavender, ontario strawberries
or
ICE CREAM SUNDAE
fior di latte gelato, tomato, basil, olive oil"
