name,address,phone,neighbourhood,price,cuisine,price_cuisine
"Montgomery's","996 Queen St W","647-748-4416","Downtown","$43 Dinner","Bistro, Canadian, Contemporary","$43 DinnerBistro, Canadian, Contemporary"
"Museum Tavern","208 Bloor St W, Unit 201","416-920-0110","Yorkville","$23 Lunch","American, Canadian, Contemporary, International","$23 Lunch | $33 DinnerAmerican, Canadian, Contemporary, International"
"Paese Ristorante","3827 Bathurst St","416-631-6585","North Toronto","$28 Lunch","Continental, Italian, Seafood","$28 Lunch | $43 DinnerContinental, Italian, Seafood"
"7 Numbers Eglinton","516 Eglinton Ave W","416-322-5183","Midtown","$33 Dinner","Italian","$33 DinnerItalian"
"Ruth's Chris Steak House","145 Richmond St W","416-955-1455","Downtown, Financial District","$53 Dinner","American, Seafood, Steakhouse","$53 DinnerAmerican, Seafood, Steakhouse"
"Fabbrica","49 Karl Fraser Rd","416-391-0307","North Toronto","$28 Lunch","Italian","$28 Lunch | $43 DinnerItalian"
"Granite Brewery and Restaurant","245 Eglinton Ave E","416-322-0723","Midtown","$23 Lunch","Beer Cuisine, Bistro, Canadian","$23 Lunch | $33 DinnerBeer Cuisine, Bistro, Canadian"
"Florentia Ristorante","579 Mount Pleasant Rd","416-545-1220","Midtown, North Toronto","$23 Lunch","Italian, Seafood","$23 Lunch | $33 DinnerItalian, Seafood"
"Bodega","30 Baldwin St","416-977-1287","Downtown","$28 Lunch","Bistro, French, Mediterranean","$28 Lunch | $43 DinnerBistro, French, Mediterranean"
"Liberty Commons","42 Liberty St","416-304-9403","Liberty Village","$23 Lunch","Barbeque, Beer Cuisine","$23 Lunch | $33 DinnerBarbeque, Beer Cuisine"
"Veloute Bistro","2343 Queen St E","416-696-7392","East Toronto","$53 Dinner","French, Italian","$53 DinnerFrench, Italian"
"La Société","131 Bloor St W","416-551-9929","Yorkville","$33 Lunch","Bistro, French","$33 Lunch | $53 DinnerBistro, French"
"Adega Restaurante","33 Elm St","416-977-4338","Downtown","$28 Lunch","Portuguese, Seafood","$28 Lunch | $43 DinnerPortuguese, Seafood"
"Pukka","778 St Clair Ave W","416-342-1906","Midtown","$33 Dinner","Indian","$33 DinnerIndian"
"Real Mo-Mo's","51 Colborne St","647-343-8801","Old Town","$23 Lunch","Bistro, Dutch","$23 Lunch | $33 DinnerBistro, Dutch"
"The Chefs' House","215 King St E","416-415-2260","Old Town","$23 Lunch","Canadian, Contemporary","$23 Lunch | $33 DinnerCanadian, Contemporary"
"Nami Japanese Restaurant","55 Adelaide St E","416-362-7373","Downtown, Entertainment District, Financial District","$28 Lunch","Asian, Japanese, Seafood","$28 Lunch | $43 DinnerAsian, Japanese, Seafood"
"Fonda Lola","942 Queen St W","647-706-9105","West Toronto","$23 Lunch","Mexican, Tapas","$23 Lunch | $33 DinnerMexican, Tapas"
