name,location,number,contact,description,yelp,sellingPoint
Matisse Restaurant & Bar,90 Bloor St E,4169206500,,Canadian/Cocktail,3,"Pricey menu, making certain customers feel their order wasn't worth it"
Azure Restaurant & Bar,225 Front St W,4165978142,,Canadian/Cocktail,3,"Pricey menu, making certain customers feel their order wasn't worth it"
Beast Restaurant,96 Tecumseth St,6473526000,,Canadian ,4,"Carnivore place overall, "
Fran's Restaurant ,20 College St,4169239867,,Diner,3.5,"Really old and established place, although could be subpar on certain items"
Richmound Station,1 Richmound St W,6477481444,,Canadian,4.5,"Great ratings overall, seem like consistent place, could use with just another resource"
School Restaurant,70 Fraser Ave,4165880005,,Canadian,3.5,"More of a brunch place, seems a few inconsistent results are dragging overall ratings down"
Insomnia Restaurant & Lounge,563 Bloor St W,4165883907,,Comfort Food ,4,"Seems to be better reviews more lately, overall great place it seems"
Peartree Restaurant,507 Parliament St,4169628190,,Breakfast/Medit,3.5,"Certain poor execution of specific dishes dragging yelp reviews down, i.e eggs bene"
Miku,10 Bay St,6473477347,,Japanese,4,"High scale sushi/japanese, glowing reviews, expensive so could be good to build more confidence in order"
Vegetarian Haven,17 Baldwin St,4166213636,,Vegetarian,4,"Nice vegetarian place with overall great reviews, but face an obvious challenge with meat eaters, so could be a great way to increase meat eater confidence"
Barnsteiner's,1 Balmoral Ave,4165150551,,European,3.5,"Great reviews coupled with a few bad ones, usually based on certain items"
Hong Shing Chinese,195 Dundas Ave W,4169773338,,Chinese,3,"A lot of reviews saying certain dishes were oily and overly salted, could be good to figure out losers"
Blu Restaurante,17 Yorkville Ave,4169211471,,Italian,4,Expensive restaurant with certain items being underwhelming
Donatello Restaurant,37 Elm St,4165955001,,Italian,4,Expensive restaurant with certain items being underwhelming
Mashu Mashu,387 Spadina Rd,4164770442,,Medit,3.5,Serving size and also some flavours of certain menu items seems to make things lacking overall
Luma ,350 King St W,6472884715,,Canadian,3.5,Expensive restaurant with certain items being underwhelming
Signature Restaurant,220 Bloor St W,4169605200,,Canadian,2.5,"Poor reviews for a relatively pricey restaurant, might have to do with lack of value"
Capocaccia Trattoria,1366 Yonge St,4169213141,,Pizza/Italian,3.5,"Pizza quality seems to be great overall, just small issues here and there"
Wylie's Pub,1234 Yonge St,4169209063,,Canadian,3,"Unassuming place with some lackluster dishes, could use with help to figure exactly which need help"
Aviv Restaurant,328 Dupont St,4169222433,,Medit,4,Overall positive reviews for affordable food that caters to a wide range of palettes
Wish,3 Charles St E,4169350240,,Lounge/Breakfast,3,"Mixed reviews, some items are poorer with also décor complaints"
Antler Kitchen & Bar,1454 Dundas St W,6473458300,,Canadian,4.5,"Great reviews, pretty spot on, cool owner as the guy that was angering vegans"
Bannock,401 Bay St,4168616996,,Canadian,4,"Some items seem ovepriced, quality overall high but quantity low"
Piano Piano Restaurant,88 Harbord St,4169297788,,Italian,3.5,Mixed item reviews for a relatively highly rated restaurant
Terroni,720 Queen St W,4165040320,,Italian,3.5,Really mixed reviews
Fresh on Bloor,326 Bloor St W,4165994442,,Vegetarian,3.5,"Same challenge as all vegetarian places, with safer options for meat eaters could be great info"
Rashnaa,307 Wellesley St E,4169292099,,Indian,3.5,Polarizing reviews
Rosedale Diner,1164 Yonge St,4169233122,,Diner,3.5,Glowing reviews but certain ones are dragging overall ratings down
Red Cranberries,601 Parliament St,4169256330,,Bar,4,"Overall good, just a few inconsistent reviews"
Ardo Restaurant,243 King St E,6473478930,,Italian,3.5,"Overall good, but just several menu items were dissappointing"
Bangkok Garden,18 Elm St,4169776748,,Thai,3,Mixed reviews for certain items dragging overall things down
Mirto Italian Restaurant,25 Toronto St,4166019444,,Italian,3.5,"Bad experiences with management here, might not be best target"
Pukka,778 St. Clair Ave W,4163421906,,Indian,4,"Great manager/owner experience and food too, could help customers make wiser orders"
Shunoko,1201 St. Clair Ave W,6477487288,,Japanese,4,"Pretty good reviews, could help with ordering"
Seven Lives Tacos,69 Kensington Ave,4163934636,,Mexican ,4.5,"Glowing reviews, but there's a few disappointed customers with certain aspects"
Ginger Yonge ,695 Yonge St,4169662424,,Viet,3.5,Some food items were just overall unpleasant according to reviews
Kit Kat Italian Bar,297 King St W,4169774461,,Italian,3.5,Mixed item reviews
Flock Rotisserie + Greens,330 Adelaide St W,6474835625,,Salad,4,"A little pricey, especially for salads"
Nami Japanese Restaurant,55 Adelaide St E,4163627373,,Japanese,4,"Great reviews, confusing menu at times"
Woods Restaurant + Bar,45 Colborne St,4162149918,,Canadian,4,Cozy restaurant that seems to have a lot of great things going
Earls Kitchen + Bar,150 King St W,4169160227,,Canadian,3.5,"Polarizing reviews, often seperated into good dinner bad brunch"
Vaticano Italian Restaurant,25 Bellair St,4169244967,,Italian,3.5,"High end prices for pretty average items, underwhelming for some customers"
Koyoi,2 Irwin Ave,6473515128,,Japanese,4,"Expensive, smaller portions that don't live up to the price point"
Osgoode Hall Restaurant,130 Queen St W,4169473361,,Canadian,4.5,"Pretty good reviews, certain items could use work"
M'Zaar Restaurant,668 Yonge St,6473500666,,Lebanese,4,"Good reviews muddled with a few standout bad ones, could take weight off those reviews"
Bodega,30 Baldwin St,4169771287,,French,3.5,Quality seems to have decreased over the years
R&D,241 Spadina Ave,4165861241,,Asian,3.5,"Master Chef was owner, certain items stand out a lot more than others"
